,underscore,//,@,https,hash,numbers_inURL,Special_char_ratio
ip_in_URL,-0.006120973934046534,-0.007123248540888843,0.006020773544756458,0.020017641755438353,-0.0009423407026511072,0.01578582187060681,-0.020975507108727712
random_words,0.13640826308872225,0.048201287536918914,0.008264358077848671,0.048115856971531555,-0.009687113336290812,0.7966266940364197,0.36745103181439553
avg_len_random_words,-0.03421103611394699,-0.030603445951501346,0.009536196354981217,0.03924983916643426,0.005345573061201205,-0.4145839244486787,-0.7030294537544294
english_words,0.13279908051971337,0.032541056647981355,0.018658493463204237,0.06531532627151751,-0.01058025682761372,0.6847117512040468,0.6346382637315108
avg_len_english_words,-0.037644354258954064,-0.020333548165801556,0.012490688769306481,0.04273143564215552,-0.00021723403269034505,-0.4739151018744386,-0.5812114253483439
http_in_URL,-0.008105312105859502,0.7314547321561896,-0.010031106922363255,0.23813262147713987,-0.000524227033245521,0.11270248218152162,0.08252040858918851
semicolon_in_URL,-0.013510213448474393,0.18490316057156392,-0.00020463771115602087,0.0693181108396421,0.013613886477366211,-0.008053540202061522,-0.021443236221664448
AND_in_URL,0.322016112402264,0.04550220105122417,-0.00594810119699722,-0.007642918696758556,-0.0025781389264800873,0.06371528416507033,0.04985465298249166
URL_length,0.1315078258643913,0.03839637894187613,0.01111250786821942,0.05374808570925216,-0.007103721887428107,0.7564164284954348,0.13819142754106126
underscore,1.0,0.001082339560902027,-0.007692230211663354,-0.013096834185597912,0.0002997769856802511,0.14086783335641212,-0.051531608427612396
//,0.001082339560902027,1.0,-0.0065483495971727325,0.050919292500999594,0.00917630214138124,-0.02310776143317014,-0.024585046274268517
@,-0.007692230211663354,-0.0065483495971727325,1.0,0.18916285343136782,0.008818993788503657,-0.009500860794995292,-0.01611657679609784
hash,0.0002997769856802511,0.00917630214138124,0.008818993788503657,0.010121009392921269,1.0,-0.0018476948238269825,-0.0027003378213572623
https,-0.013096834185597912,0.050919292500999594,0.18916285343136782,1.0,0.010121009392921269,0.028603567947225877,0.00286721098186331
alphabets_in_URL,0.09080702194700419,0.0406388711276361,0.017204756922813966,0.04467117084870745,-0.006645074821817761,0.501269746341716,-0.11138436639212329
uppercase_letters_inURL,0.003225234188502801,-0.011330281288297203,-0.012679644268140989,-0.0011675601761613355,-0.0029246865912585522,0.6384810719717856,0.1858748477737029
lowercase_letters_inURL,0.15832026085030312,0.08453761217718447,0.044244555785588204,0.08082737416100819,-0.008703064321264989,0.20854958261467924,-0.3977045505130844
uppercase_letters_ratio_inURL,0.001103451622932538,-0.03393518663959829,-0.02801845558401744,-0.013560463566037137,-0.003648275725279785,0.5674040211287117,0.6644076750397736
lowercase_letters_ratio_inURL,-0.008262946916353944,0.023898046252554664,0.030108072017897742,0.04439916935904902,0.0012308058062350626,-0.6326057027329673,-0.8352327118305245
Special_char_in_URL,-0.014323170986498693,-0.017488854716032676,-0.013400465731874079,0.05063668262991937,-0.00422047904586766,0.5975584238492435,0.8393884199109077
Special_char_ratio,-0.051531608427612396,-0.024585046274268517,-0.01611657679609784,0.00286721098186331,-0.0027003378213572623,0.42763068225886386,1.0
numbers_ratio_inURL,0.036732829084180595,-0.06099173566210024,-0.01795238540403683,-0.05182096767267359,0.001741830036762973,0.6417084513425273,0.5576316108669483
numbers_inURL,0.14086783335641212,-0.02310776143317014,-0.009500860794995292,0.028603567947225877,-0.0018476948238269825,1.0,0.42763068225886386
alphabet_ratio_inURL,-0.011207091014573322,0.012394902830167878,0.025195668802038246,0.05525485662933419,-0.0006008253539238394,-0.5432711804813669,-0.7724957312709936
fd_length,-0.06332330999795811,-0.04841376394796165,-0.008508390170049363,-0.0529482106757659,-0.008125126530113701,0.052426749635856765,0.3617553809143908
fd_length2,-0.06332330999795811,-0.04841376394796165,-0.008508390170049363,-0.0529482106757659,-0.008125126530113701,0.052426749635856765,0.3617553809143908
tld_length,0.11265224532748719,0.027150744159340993,0.006941402382785956,-0.05281823218533149,0.013919788201373086,0.044976627735947954,-0.032761356061199606
tld_length2,0.11265224532748719,0.027150744159340993,0.006941402382785956,-0.05281823218533149,0.013919788201373086,0.044976627735947954,-0.032761356061199606
has_server,-0.03217387372321982,-0.023963596405446274,-0.007451189714352187,-0.013818299207484673,-0.0024282406132596066,0.2807332577782793,-0.057644169858536716
has_login,-0.03109272152160574,0.2849803557728595,-0.011736357562636274,0.06722056834771925,0.006577635532144103,-0.04840175805056426,-0.05708047227544711
has_client,0.015963455311243987,-0.003024835024826814,0.00233846716175243,0.04621259350257998,-0.000849024997132454,0.00771650203935399,-0.010575155369361076
has_admin,-0.007643437583782049,-0.02018071650198514,-0.003317405999488983,-0.011363135533165957,-0.0018327526053237078,-0.01805441492986135,-0.03925789155918055
count_dir,-0.01890512831252687,-0.05294934557230052,-0.014503023012298256,-0.07529954933182104,-0.012183805240515705,-0.06009196328130266,-0.21357980753585978
count_dir2,-0.01890512831252687,-0.05294934557230052,-0.014503023012298256,-0.07529954933182104,-0.012183805240515705,-0.06009196328130266,-0.21357980753585978
short_url,0.028108767141890333,-0.06630180910685125,0.013804529406661378,-0.09301249227306531,-0.01643803716405101,0.08991053990245684,0.09026428018695437
short_url2,0.028108767141890333,-0.06630180910685125,0.013804529406661378,-0.09301249227306531,-0.01643803716405101,0.08991053990245684,0.09026428018695437
short_url3,0.028108767141890333,-0.06630180910685125,0.013804529406661378,-0.09301249227306531,-0.01643803716405101,0.08991053990245684,0.09026428018695437
number_subdom,-0.0498525206508861,-0.003811233377825036,-0.009540413406440936,-0.023352521373247993,0.0016238235151756068,-0.005882084679040038,-0.10352630731202014
domain_length,-0.05214750350813843,0.021244003628677854,-0.004655244599984876,-0.044612097233257,0.010159351424793604,-0.03879753629245641,-0.22480632296127598
dots_in_domain,0.007161119305532319,0.0366565091187952,-0.010870753950090073,-0.046841248948153634,0.0064332774645121495,-0.009645043523451899,-0.19414205186118783
hyphens_in_domain,-0.02918923722959085,0.003081458716362012,0.0022356825817574717,-0.015009895085944816,0.008670641367068256,-0.0016817461487821993,-0.05509254565613123
url_type,0.0014471273180781032,0.03870509212055472,-0.02957330965573211,-0.11604931346688357,0.019757262194719537,0.02041395044659205,0.035687393160251754
