,ip_in_URL,random_words,avg_len_random_words,english_words,avg_len_english_words,http_in_URL,semicolon_in_URL,AND_in_URL,URL_length,underscore,//,@,hash,https,alphabets_in_URL,uppercase_letters_inURL,lowercase_letters_inURL,uppercase_letters_ratio_inURL,lowercase_letters_ratio_inURL,Special_char_in_URL,Special_char_ratio,numbers_ratio_inURL,numbers_inURL,alphabet_ratio_inURL,fd_length,fd_length2,tld_length,tld_length2,has_server,has_login,has_client,has_admin,count_dir,count_dir2,short_url,short_url2,short_url3,number_subdom,domain_length,dots_in_domain,hyphens_in_domain,url_type
ip_in_URL,1.0,-0.0186001505037451,0.017034260068803195,-0.01957165093096694,0.00891574064152477,0.0039610702092653174,0.020300286671598625,-0.008429761200749494,-0.013017475630160594,-0.006120973934046534,-0.007123248540888843,0.006020773544756458,-0.0009423407026511072,0.020017641755438353,-0.018081587536391778,-0.010273012994034846,-0.021199901478184405,-0.019063736161221718,-0.020343697541645462,-0.017144320176177178,-0.020975507108727712,0.05193326403440212,0.01578582187060681,-0.04178059482563317,-0.011560099618835917,-0.011560099618835917,-0.14846597308441675,-0.14846597308441675,-0.003795446279739733,0.035273826528382936,0.01131713031385363,0.020487485745133142,0.01185635053222453,0.01185635053222453,0.010119573664535085,0.010119573664535085,0.010119573664535085,0.033814442164504376,-0.008017278160007437,0.04897201126618895,-0.0075472824047373025,0.050323166285267826
random_words,-0.0186001505037451,1.0,-0.3247940871173293,0.7572708840694574,-0.4056204370484164,0.17450259006753804,0.05294512007019766,0.11932813312545595,0.9295819009094796,0.13640826308872225,0.048201287536918914,0.008264358077848671,-0.009687113336290812,0.048115856971531555,0.7838551511041392,0.8110691836586313,0.5269649821638644,0.5990927870546205,-0.436526945667553,0.5604382639092548,0.36745103181439553,0.27571537152712505,0.7966266940364197,-0.2396478156291937,0.047462867777166594,0.047462867777166594,0.014022140189312035,0.014022140189312035,0.4174594699177318,0.004591015814973672,0.007858220260788385,-0.020119359790585406,-0.09181051681488596,-0.09181051681488596,0.050747918075211104,0.050747918075211104,0.050747918075211104,0.020800288299335352,-0.044583577561075706,-0.0009051719200671451,0.029385459652913944,-0.09451503685987955
avg_len_random_words,0.017034260068803195,-0.3247940871173293,1.0,-0.552311024015217,0.718635216146797,-0.09105435827476159,-0.03298445575085427,-0.03231740900141024,-0.04739847927346294,-0.03421103611394699,-0.030603445951501346,0.009536196354981217,0.005345573061201205,0.03924983916643426,0.1897392646235188,-0.0819177269539952,0.4258498971012016,-0.4690201502365012,0.7599900864666559,-0.5770941271549317,-0.7030294537544294,-0.6396263552860767,-0.4145839244486787,0.7912115351019811,-0.22915614994845562,-0.22915614994845562,0.006157723970251479,0.006157723970251479,0.11022906278749672,-0.038317703089454896,0.02098434616819946,0.04014432751170589,0.15901419305374867,0.15901419305374867,-0.09145225907897898,-0.09145225907897898,-0.09145225907897898,0.05327208920486038,0.20276325348955448,0.0826553016840346,0.0026529809552235553,-0.11170391681841788
english_words,-0.01957165093096694,0.7572708840694574,-0.552311024015217,1.0,-0.4070962478629601,0.18761842655768557,0.04090357231145085,0.1041744599417277,0.5365796257466291,0.13279908051971337,0.032541056647981355,0.018658493463204237,-0.01058025682761372,0.06531532627151751,0.2634118828719265,0.35352523226878685,0.09028335980313741,0.522191874476872,-0.5863037828542939,0.8292374168344415,0.6346382637315108,0.42300197146453605,0.6847117512040468,-0.5059085678938158,0.10380955947044153,0.10380955947044153,-0.07888377872884217,-0.07888377872884217,0.04283552632897009,0.00027215018487639753,0.002706023023464273,-0.02265157231618041,-0.06553271295324149,-0.06553271295324149,0.037102000540627525,0.037102000540627525,0.037102000540627525,-0.06954850673065142,-0.1684407031615793,-0.15490366408904516,-0.009290450717926085,-0.2055125217567361
avg_len_english_words,0.00891574064152477,-0.4056204370484164,0.718635216146797,-0.4070962478629601,1.0,-0.0885956100200748,-0.04040960772228826,0.01789917676077771,-0.21306791097508754,-0.037644354258954064,-0.020333548165801556,0.012490688769306481,-0.00021723403269034505,0.04273143564215552,-0.029909699474507247,-0.2822954858125715,0.24935192708135884,-0.5516798218201737,0.6879308832015429,-0.4820104760651863,-0.5812114253483439,-0.5843808227582623,-0.4739151018744386,0.6333581207051279,-0.21326889333338983,-0.21326889333338983,-0.046667284782921016,-0.046667284782921016,-0.05718227044108518,-0.011041985934178935,0.008682049134841201,0.05304483849866372,0.17048380064529256,0.17048380064529256,-0.0890957170404937,-0.0890957170404937,-0.0890957170404937,0.028916051375409372,0.08635454953445168,0.025817514091026672,-0.019291430801175524,-0.17719653790039455
http_in_URL,0.0039610702092653174,0.17450259006753804,-0.09105435827476159,0.18761842655768557,-0.0885956100200748,1.0,0.181954788286065,0.041346351126433166,0.13996275827516053,-0.008105312105859502,0.7314547321561896,-0.010031106922363255,-0.000524227033245521,0.23813262147713987,0.08416503396188915,0.04138087995450574,0.10557501763232993,0.03836498763479866,-0.051775577954616556,0.18357911549822506,0.08252040858918851,-0.00038359968776638013,0.11270248218152162,-0.04971321423009913,-0.07300818539808865,-0.07300818539808865,-0.016041593626744736,-0.016041593626744736,-0.022905419706972262,0.303395156274569,0.0729257994592351,-0.01746590096021845,-0.1346294636777486,-0.1346294636777486,-0.0764292535744857,-0.0764292535744857,-0.0764292535744857,-0.006814515624690969,-0.005899308393373658,0.013000580041058541,-0.0027809852798736773,-0.011062771667810566
semicolon_in_URL,0.020300286671598625,0.05294512007019766,-0.03298445575085427,0.04090357231145085,-0.04040960772228826,0.181954788286065,1.0,0.12918813312322042,0.03744876503015536,-0.013510213448474393,0.18490316057156392,-0.00020463771115602087,0.013613886477366211,0.0693181108396421,0.04029571863902595,-0.0035344847469346873,0.07556351215625627,0.003307778770163227,0.011705822493649317,-0.011785564470918046,-0.021443236221664448,-0.0242913547278696,-0.008053540202061522,0.01907401835769216,-0.03667938518534022,-0.03667938518534022,0.012793066033246219,0.012793066033246219,-0.01169984193436529,0.2103349198899752,0.001343367304036012,-0.005551496961442239,-0.03748221082158732,-0.03748221082158732,-0.01938863521191111,-0.01938863521191111,-0.01938863521191111,0.04091773967289535,0.02637881299151577,0.07283924494380793,0.020747794643879283,0.10286994750610075
AND_in_URL,-0.008429761200749494,0.11932813312545595,-0.03231740900141024,0.1041744599417277,0.01789917676077771,0.041346351126433166,0.12918813312322042,1.0,0.13561689441161626,0.322016112402264,0.04550220105122417,-0.00594810119699722,-0.0025781389264800873,-0.007642918696758556,0.11204693492544836,-0.020278883788425257,0.22135610863496516,-0.05016133617613068,0.020108875762397827,0.052437916607050425,0.04985465298249166,-0.020544983033614992,0.06371528416507033,-0.0036597109480590475,-0.11544723453907449,-0.11544723453907449,0.07382601646319847,0.07382601646319847,-0.0450266517916394,-0.0016586618441455693,0.008760512928816914,-0.02872810982716728,-0.1909421387846141,-0.1909421387846141,0.04785946903087406,0.04785946903087406,0.04785946903087406,-0.004176717827026438,-0.02804467536797648,0.02978167561049948,-0.030700251263520106,0.08543626441292752
URL_length,-0.013017475630160594,0.9295819009094796,-0.04739847927346294,0.5365796257466291,-0.21306791097508754,0.13996275827516053,0.03744876503015536,0.13561689441161626,1.0,0.1315078258643913,0.03839637894187613,0.01111250786821942,-0.007103721887428107,0.05374808570925216,0.9339651415907335,0.8794639220144673,0.7210699766243499,0.49754346763481255,-0.2555928972507599,0.32097364483744056,0.13819142754106126,0.15760657842338374,0.7564164284954348,-0.044691562704527295,-0.006345134813040058,-0.006345134813040058,0.04465957680144767,0.04465957680144767,0.5212700964384226,-0.02049836133993345,0.015573610303752771,-0.014055832602652434,-0.05252649743689287,-0.05252649743689287,0.03383361131996106,0.03383361131996106,0.03383361131996106,0.04214564169398979,0.011619235763680862,0.037195369841380714,0.026196899953788697,-0.09854512512862032
underscore,-0.006120973934046534,0.13640826308872225,-0.03421103611394699,0.13279908051971337,-0.037644354258954064,-0.008105312105859502,-0.013510213448474393,0.322016112402264,0.1315078258643913,1.0,0.001082339560902027,-0.007692230211663354,0.0002997769856802511,-0.013096834185597912,0.09080702194700419,0.003225234188502801,0.15832026085030312,0.001103451622932538,-0.008262946916353944,-0.014323170986498693,-0.051531608427612396,0.036732829084180595,0.14086783335641212,-0.011207091014573322,-0.06332330999795811,-0.06332330999795811,0.11265224532748719,0.11265224532748719,-0.03217387372321982,-0.03109272152160574,0.015963455311243987,-0.007643437583782049,-0.01890512831252687,-0.01890512831252687,0.028108767141890333,0.028108767141890333,0.028108767141890333,-0.0498525206508861,-0.05214750350813843,0.007161119305532319,-0.02918923722959085,0.0014471273180781032
//,-0.007123248540888843,0.048201287536918914,-0.030603445951501346,0.032541056647981355,-0.020333548165801556,0.7314547321561896,0.18490316057156392,0.04550220105122417,0.03839637894187613,0.001082339560902027,1.0,-0.0065483495971727325,0.00917630214138124,0.050919292500999594,0.0406388711276361,-0.011330281288297203,0.08453761217718447,-0.03393518663959829,0.023898046252554664,-0.017488854716032676,-0.024585046274268517,-0.06099173566210024,-0.02310776143317014,0.012394902830167878,-0.04841376394796165,-0.04841376394796165,0.027150744159340993,0.027150744159340993,-0.023963596405446274,0.2849803557728595,-0.003024835024826814,-0.02018071650198514,-0.05294934557230052,-0.05294934557230052,-0.06630180910685125,-0.06630180910685125,-0.06630180910685125,-0.003811233377825036,0.021244003628677854,0.0366565091187952,0.003081458716362012,0.03870509212055472
@,0.006020773544756458,0.008264358077848671,0.009536196354981217,0.018658493463204237,0.012490688769306481,-0.010031106922363255,-0.00020463771115602087,-0.00594810119699722,0.01111250786821942,-0.007692230211663354,-0.0065483495971727325,1.0,0.008818993788503657,0.18916285343136782,0.017204756922813966,-0.012679644268140989,0.044244555785588204,-0.02801845558401744,0.030108072017897742,-0.013400465731874079,-0.01611657679609784,-0.01795238540403683,-0.009500860794995292,0.025195668802038246,-0.008508390170049363,-0.008508390170049363,0.006941402382785956,0.006941402382785956,-0.007451189714352187,-0.011736357562636274,0.00233846716175243,-0.003317405999488983,-0.014503023012298256,-0.014503023012298256,0.013804529406661378,0.013804529406661378,0.013804529406661378,-0.009540413406440936,-0.004655244599984876,-0.010870753950090073,0.0022356825817574717,-0.02957330965573211
hash,-0.0009423407026511072,-0.009687113336290812,0.005345573061201205,-0.01058025682761372,-0.00021723403269034505,-0.000524227033245521,0.013613886477366211,-0.0025781389264800873,-0.007103721887428107,0.0002997769856802511,0.00917630214138124,0.008818993788503657,1.0,0.010121009392921269,-0.006645074821817761,-0.0029246865912585522,-0.008703064321264989,-0.003648275725279785,0.0012308058062350626,-0.00422047904586766,-0.0027003378213572623,0.001741830036762973,-0.0018476948238269825,-0.0006008253539238394,-0.008125126530113701,-0.008125126530113701,0.013919788201373086,0.013919788201373086,-0.0024282406132596066,0.006577635532144103,-0.000849024997132454,-0.0018327526053237078,-0.012183805240515705,-0.012183805240515705,-0.01643803716405101,-0.01643803716405101,-0.01643803716405101,0.0016238235151756068,0.010159351424793604,0.0064332774645121495,0.008670641367068256,0.019757262194719537
https,0.020017641755438353,0.048115856971531555,0.03924983916643426,0.06531532627151751,0.04273143564215552,0.23813262147713987,0.0693181108396421,-0.007642918696758556,0.05374808570925216,-0.013096834185597912,0.050919292500999594,0.18916285343136782,0.010121009392921269,1.0,0.04467117084870745,-0.0011675601761613355,0.08082737416100819,-0.013560463566037137,0.04439916935904902,0.05063668262991937,0.00286721098186331,-0.05182096767267359,0.028603567947225877,0.05525485662933419,-0.0529482106757659,-0.0529482106757659,-0.05281823218533149,-0.05281823218533149,-0.013818299207484673,0.06722056834771925,0.04621259350257998,-0.011363135533165957,-0.07529954933182104,-0.07529954933182104,-0.09301249227306531,-0.09301249227306531,-0.09301249227306531,-0.023352521373247993,-0.044612097233257,-0.046841248948153634,-0.015009895085944816,-0.11604931346688357
alphabets_in_URL,-0.018081587536391778,0.7838551511041392,0.1897392646235188,0.2634118828719265,-0.029909699474507247,0.08416503396188915,0.04029571863902595,0.11204693492544836,0.9339651415907335,0.09080702194700419,0.0406388711276361,0.017204756922813966,-0.006645074821817761,0.04467117084870745,1.0,0.8699889228540311,0.8488721087371675,0.3563684169895408,0.0048906416651772824,0.014513522250709085,-0.11138436639212329,-0.09625877922797861,0.501269746341716,0.2392497168609678,-0.04304192045522533,-0.04304192045522533,0.05935694100405447,0.05935694100405447,0.5897728747172469,-0.006103954840174168,0.01735536061613636,-0.0039449344315729135,-0.030337776735234866,-0.030337776735234866,0.0021836095366744557,0.0021836095366744557,0.0021836095366744557,0.06989895400841072,0.06666887156711422,0.08192665042906215,0.0431522285721119,-0.08350163298134973
uppercase_letters_inURL,-0.010273012994034846,0.8110691836586313,-0.0819177269539952,0.35352523226878685,-0.2822954858125715,0.04138087995450574,-0.0035344847469346873,-0.020278883788425257,0.8794639220144673,0.003225234188502801,-0.011330281288297203,-0.012679644268140989,-0.0029246865912585522,-0.0011675601761613355,0.8699889228540311,1.0,0.4778728028807275,0.6414135176398787,-0.35040760679116983,0.2402611925412886,0.1858748477737029,0.17499160110049805,0.6384810719717856,-0.08778985271362769,0.05647590344970917,0.05647590344970917,0.09162635466852166,0.09162635466852166,0.6211837960437077,-0.03945569640813,-0.0019783729614940787,-0.01266069387359437,-0.11238638226476523,-0.11238638226476523,0.050081675801868224,0.050081675801868224,0.050081675801868224,0.025482601372558703,0.002318696111454387,0.04504338988414428,0.014078026315456703,0.07919334873797472
lowercase_letters_inURL,-0.021199901478184405,0.5269649821638644,0.4258498971012016,0.09028335980313741,0.24935192708135884,0.10557501763232993,0.07556351215625627,0.22135610863496516,0.7210699766243499,0.15832026085030312,0.08453761217718447,0.044244555785588204,-0.008703064321264989,0.08082737416100819,0.8488721087371675,0.4778728028807275,1.0,-0.052742402683464217,0.3843692639006059,-0.23171651123346163,-0.3977045505130844,-0.35909010002847036,0.20854958261467924,0.5203506933661709,-0.13722562578749106,-0.13722562578749106,0.007519811516623535,0.007519811516623535,0.3847660584184009,0.031415906627763314,0.033040464888674494,0.006545080355726615,0.06643761753987483,0.06643761753987483,-0.04979312386593124,-0.04979312386593124,-0.04979312386593124,0.09721025932204803,0.11628846239209914,0.09766679161172509,0.061785807257206116,-0.23366423951857637
uppercase_letters_ratio_inURL,-0.019063736161221718,0.5990927870546205,-0.4690201502365012,0.522191874476872,-0.5516798218201737,0.03836498763479866,0.003307778770163227,-0.05016133617613068,0.49754346763481255,0.001103451622932538,-0.03393518663959829,-0.02801845558401744,-0.003648275725279785,-0.013560463566037137,0.3563684169895408,0.6414135176398787,-0.052742402683464217,1.0,-0.8014861379837505,0.5421028876108969,0.6644076750397736,0.47947032154416175,0.5674040211287117,-0.5051402324224916,0.36425917819502257,0.36425917819502257,0.06841285252735967,0.06841285252735967,0.3058161269962675,-0.07697325495748167,-0.005973750418251179,-0.026898660863143492,-0.21108515287829052,-0.21108515287829052,0.1100289968683537,0.1100289968683537,0.1100289968683537,0.04924609742072803,-0.06414990899046479,0.009234436152502476,0.026786029694268767,0.13173910185931598
lowercase_letters_ratio_inURL,-0.020343697541645462,-0.436526945667553,0.7599900864666559,-0.5863037828542939,0.6879308832015429,-0.051775577954616556,0.011705822493649317,0.020108875762397827,-0.2555928972507599,-0.008262946916353944,0.023898046252554664,0.030108072017897742,0.0012308058062350626,0.04439916935904902,0.0048906416651772824,-0.35040760679116983,0.3843692639006059,-0.8014861379837505,1.0,-0.6880931024292597,-0.8352327118305245,-0.8537454823495086,-0.6326057027329673,0.9209704869953927,-0.3400605076239988,-0.3400605076239988,-0.0565334906547269,-0.0565334906547269,-0.05772074932332239,0.07999731077758027,0.016035840512785133,0.04147404484092644,0.15209243607278675,0.15209243607278675,-0.1336002863935304,-0.1336002863935304,-0.1336002863935304,0.0197619769799518,0.14243643859896832,0.059884926209575313,0.029852375527566463,-0.15000901888582863
Special_char_in_URL,-0.017144320176177178,0.5604382639092548,-0.5770941271549317,0.8292374168344415,-0.4820104760651863,0.18357911549822506,-0.011785564470918046,0.052437916607050425,0.32097364483744056,-0.014323170986498693,-0.017488854716032676,-0.013400465731874079,-0.00422047904586766,0.05063668262991937,0.014513522250709085,0.2402611925412886,-0.23171651123346163,0.5421028876108969,-0.6880931024292597,1.0,0.8393884199109077,0.4744169688200921,0.5975584238492435,-0.6398345350781359,0.1567557089422916,0.1567557089422916,-0.06368895475207575,-0.06368895475207575,-0.04709366986784661,-0.049692339162345125,-0.001256479608643357,-0.030201874908414944,-0.1480105498613413,-0.1480105498613413,0.0749998795289775,0.0749998795289775,0.0749998795289775,-0.0825361251111836,-0.1763224552380366,-0.15706127804576378,-0.044634076838348434,-0.08052284744242398
